No,日本語名,英語名,定義,カテゴリ,ドメイン
308,B2B,,B2Bに関連する業務用語。,Concept,共通
309,B2C,,B2Cに関連する業務用語。,Concept,共通
310,BATNA,,BATNAに関連する業務用語。,Concept,共通
311,BB,,BBに関連する業務用語。,Concept,共通
312,BBSW,,BBSWに関連する業務用語。,Document,会計
313,BBレシオ,,BBレシオに関連する業務用語。,Concept,共通
314,BB（Book-Building formula）,,BB（Book-Building formula）に関連する業務用語。,Concept,共通
315,BCGゲームチェンジャー,BCG Game Changer,BCGゲームチェンジャーに関連する業務用語。,Concept,共通
316,BCGデジタルガレージ,BCG Digital Garage,BCGデジタルガレージに関連する業務用語。,Concept,共通
317,BCGバリュー・サイエンス,BCG Value Science,BCGバリュー・サイエンスに関連する業務用語。,Concept,共通
318,BCGマトリクス（成長率・市場占有率マトリクス）,BCG Matrix (Growth-Share Matrix),BCGマトリクス（成長率・市場占有率マトリクス）に関連する業務用語。,Concept,経営戦略
319,BCG・ヘンダーソン研究所,BCG Henderson Institute,BCG・ヘンダーソン研究所に関連する業務用語。,Concept,共通
320,BCP,Business Continuity Plan,BCPに関連する業務用語。,Concept,共通
321,BDI,,BDIに関連する業務用語。,Concept,共通
322,BEL20指数,,BEL20指数に関連する業務用語。,Concept,共通
323,BIS,,BISに関連する業務用語。,Concept,共通
324,BIS規制,,BIS規制に関連する業務用語。,Concept,ガバナンス
325,BI（Business Intelligence）,,BI（Business Intelligence）に関連する業務用語。,Concept,共通
326,BNPパリバ・ショック,,BNPパリバ・ショックに関連する業務用語。,Concept,共通
327,BOP,,BOPに関連する業務用語。,Concept,共通
328,BPO,Business Process Outsourcing,BPOに関連する業務用語。,Concept,共通
329,BPR,,BPRに関連する業務用語。,Concept,共通
330,BPR（ビジネスプロセスリエンジニアリング）,,BPR（ビジネスプロセスリエンジニアリング）に関連する業務用語。,Concept,共通
331,BPS,Book Value Per Share,1株当たり純資産。純資産÷発行済株式数。,Metric,財務分析
332,BPS（1株あたり純資産）,,BPS（1株あたり純資産）に関連する業務用語。,Concept,会計
333,BPS（Book-value Per Share）,,BPS（Book-value Per Share）に関連する業務用語。,Metric,財務分析
334,BRICS,,BRICSに関連する業務用語。,Concept,共通
335,BRICS開発銀行,,BRICS開発銀行に関連する業務用語。,Entity,金融
336,BRICs,,BRICsに関連する業務用語。,Concept,共通
337,BRL,,BRLに関連する業務用語。,Concept,共通
338,BTO,,BTOに関連する業務用語。,Concept,共通
339,BaaS,,BaaSに関連する業務用語。,Concept,共通
340,Bidding price,,Bidding priceに関連する業務用語。,Concept,共通
341,Big4,,Big4に関連する業務用語。,Concept,共通
342,Book value,,Book valueに関連する業務用語。,Concept,共通
343,Brexit,,Brexitに関連する業務用語。,Concept,共通
344,Broker,,Brokerに関連する業務用語。,Concept,共通
345,Broker's business,,Broker's businessに関連する業務用語。,Concept,共通
346,BtoB,Business-to-Business (B2B),BtoBに関連する業務用語。,Concept,共通
347,BtoC,Business-to-Consumer (B2C),BtoCに関連する業務用語。,Concept,共通
348,C/F,,C/Fに関連する業務用語。,Concept,共通
349,C2C,,C2Cに関連する業務用語。,Concept,共通
350,CAC40 index,,CAC40 indexに関連する業務用語。,Concept,営業
351,CAC40指数,,CAC40指数に関連する業務用語。,Concept,営業
352,CAC（顧客獲得コスト）,CAC (Customer Acquisition Cost),CAC（顧客獲得コスト）に関連する業務用語。,Concept,営業
353,CAD,,CADに関連する業務用語。,Concept,共通
354,CAGR,Compound Annual Growth Rate,CAGRに関連する業務用語。,Concept,共通
355,CAGR(年平均成長率),,CAGR(年平均成長率)に関連する業務用語。,Concept,共通
356,CAP,,CAPに関連する業務用語。,Concept,共通
357,CAPE,,CAPEに関連する業務用語。,Concept,共通
358,CAPEX,,CAPEXに関連する業務用語。,Metric,会計
359,CAPM,,CAPMに関連する業務用語。,Concept,共通
360,CAPM(資本資産価格モデル),,CAPM(資本資産価格モデル)に関連する業務用語。,Concept,会計
361,CATボンド,,CATボンドに関連する業務用語。,Concept,共通
362,CB,,CBに関連する業務用語。,Concept,投資
363,CBDC,,CBDCに関連する業務用語。,Concept,投資
364,CBO,,CBOに関連する業務用語。,Concept,投資
365,CBOT,,CBOTに関連する業務用語。,Concept,投資
366,CBO（Collateralized Bond Obligation）,,CBO（Collateralized Bond Obligation）に関連する業務用語。,Concept,投資
367,CCC（キャッシュ・コンバージョン・サイクル）,,CCC（キャッシュ・コンバージョン・サイクル）に関連する業務用語。,Concept,営業
368,CCI,,CCIに関連する業務用語。,Concept,共通
369,CCS,Carbon Capture and Storage,CCSに関連する業務用語。,Concept,共通
370,CCUS,"Carbon Capture, Utilization and Storage",CCUSに関連する業務用語。,Concept,共通
371,CD,,CDに関連する業務用語。,Concept,共通
372,CDO,,CDOに関連する業務用語。,Concept,共通
373,CDO（Collateralized Debt Obligation）,,CDO（Collateralized Debt Obligation）に関連する業務用語。,Concept,共通
374,CDP(キャリア・ディベロップメント・プログラム),,CDP(キャリア・ディベロップメント・プログラム)に関連する業務用語。,Concept,ESG
375,CDS,,CDSに関連する業務用語。,Concept,共通
376,CD市場,,CD市場に関連する業務用語。,Concept,共通
377,CEO,,CEOに関連する業務用語。,Entity,ガバナンス
378,CEO（Chief Executive Officer）,,CEO（Chief Executive Officer）に関連する業務用語。,Entity,ガバナンス
379,CEPA（Closer Economic Partnership Arrangement）,,CEPA（Closer Economic Partnership Arrangement）に関連する業務用語。,Concept,共通
380,CFD,,CFDに関連する業務用語。,Document,会計
381,CFD（Contract for Difference）,,CFD（Contract for Difference）に関連する業務用語。,Document,会計
382,CFO,,CFOに関連する業務用語。,Document,会計
383,CFO（Chief Financial Officer）,,CFO（Chief Financial Officer）に関連する業務用語。,Document,会計
384,CFT(クロス・ファンクショナル・チーム),,CFT(クロス・ファンクショナル・チーム)に関連する業務用語。,Document,会計
385,CFTC（Commodities Futures Trading Commission）,,CFTC（Commodities Futures Trading Commission）に関連する業務用語。,Document,会計
386,CGコード,,CGコードに関連する業務用語。,Concept,共通
387,CG報告書,,CG報告書に関連する業務用語。,Concept,共通
388,CHF,,CHFに関連する業務用語。,Concept,共通
389,CI,,CIに関連する業務用語。,Concept,共通
390,CIF,,CIFに関連する業務用語。,Concept,共通
391,CIO,,CIOに関連する業務用語。,Entity,ガバナンス
392,CIO（Chief Investment Officer）,,CIO（Chief Investment Officer）に関連する業務用語。,Entity,ガバナンス
393,CLO,,CLOに関連する業務用語。,Concept,共通
394,CLO（Collateralized Loan Obligation）,,CLO（Collateralized Loan Obligation）に関連する業務用語。,Concept,共通
395,CMBS,,CMBSに関連する業務用語。,Document,会計
396,CMBS（Commercial Mortgage Backed Securities）,,CMBS（Commercial Mortgage Backed Securities）に関連する業務用語。,Document,会計
397,CME,,CMEに関連する業務用語。,Concept,共通
398,CMEグループ,,CMEグループに関連する業務用語。,Concept,共通
399,CMO（Collateralized Mortgage Obligation）,,CMO（Collateralized Mortgage Obligation）に関連する業務用語。,Concept,共通
400,COMEX,,COMEXに関連する業務用語。,Concept,共通
401,COO,,COOに関連する業務用語。,Entity,ガバナンス
402,COO（Chief Operating Officer）,,COO（Chief Operating Officer）に関連する業務用語。,Entity,ガバナンス
403,COP15,,COP15に関連する業務用語。,Concept,共通
404,CP,,CPに関連する業務用語。,Concept,共通
405,CPA,,CPAに関連する業務用語。,Concept,共通
406,CPI,,CPIに関連する業務用語。,Concept,共通
407,CPプログラム,Commercial Paper Program,CPプログラムに関連する業務用語。,Concept,共通
408,CP（コマーシャルペーパー）,,CP（コマーシャルペーパー）に関連する業務用語。,Concept,共通
409,CRB Index,,CRB Indexに関連する業務用語。,Concept,共通
410,CRB指数,,CRB指数に関連する業務用語。,Concept,共通
411,CRM(カスタマー・リレーションシップ・マネジメント),,CRM(カスタマー・リレーションシップ・マネジメント)に関連する業務用語。,Concept,営業
412,CRO,,CROに関連する業務用語。,Concept,共通
413,CRS,,CRSに関連する業務用語。,Concept,共通
414,CSA,,CSAに関連する業務用語。,Concept,共通
415,CSR,Corporate Social Responsibility,CSRに関連する業務用語。,Concept,ESG
416,CSRブランディング,,CSRブランディングに関連する業務用語。,Concept,ESG
417,CSR（Corporate Social Responsibility）,,CSR（Corporate Social Responsibility）に関連する業務用語。,Concept,ESG
